Date,High,Low,avg
2016-08-01,11.69086576234594,11.144245348765171,11.417555555555555
2016-08-02,10.299221098248095,8.429020976679857,9.364121037463976
2016-08-03,10.30928838680259,9.489717824377538,9.899503105590064
2016-08-04,11.676064451992524,10.740994371536882,11.208529411764703
2016-08-05,11.408598395437041,11.046225133974724,11.227411764705883
2016-08-06,11.131851383027847,10.839259728083263,10.985555555555555
2016-08-07,11.15077981931282,10.957114917529289,11.053947368421055
2016-08-08,11.449522687910706,11.179125960737943,11.314324324324325
2016-08-09,12.281852416982725,11.617493988246034,11.94967320261438
2016-08-10,12.465200522874925,12.159199477125076,12.3122
2016-08-11,12.092761840607064,11.775699697854474,11.93423076923077
2016-08-12,11.955614643190119,11.85438535680988,11.905
2016-08-13,11.858967281953502,11.671730392465106,11.765348837209304
2016-08-14,11.621004228750097,11.355567199821332,11.488285714285714
2016-08-15,11.306297579639303,11.059952420360698,11.183125
2016-08-16,11.29422314436376,11.119623009482394,11.206923076923077
2016-08-17,11.19925855418091,10.900447328172033,11.049852941176471
2016-08-18,11.119263117231627,10.834810956842452,10.97703703703704
2016-08-19,10.995593305483647,10.812263837373495,10.90392857142857
2016-08-20,11.37249488159384,11.148219404120445,11.260357142857142
2016-08-21,11.325349048609702,11.111121539625593,11.218235294117648
2016-08-22,11.40200320780612,11.22177037709954,11.31188679245283
2016-08-23,11.18276589544401,11.048662675984566,11.115714285714288
2016-08-24,11.229357783015784,11.037112805219513,11.133235294117648
2016-08-25,11.370217203514603,11.198949463152069,11.284583333333336
2016-08-26,11.44603920203654,11.333372562669345,11.389705882352942
2016-08-27,11.340896513749,11.199844226991742,11.27037037037037
2016-08-28,11.078087833084767,10.991641896644966,11.034864864864867
2016-08-29,11.109689013732742,10.935644319600586,11.022666666666664
2016-08-30,11.297837198043222,11.15716280195678,11.227500000000001
2016-08-31,12.290138682953184,11.239774360525072,11.764956521739128
2016-09-01,12.706494661382937,12.011740632734703,12.35911764705882
2016-09-02,12.421107881098976,12.146392118901026,12.283750000000001
2016-09-03,12.183055680182505,11.782296432493556,11.98267605633803
2016-09-04,11.959108928219655,11.724048966517183,11.841578947368419
2016-09-05,11.91540288497566,11.701263781691004,11.808333333333332
2016-09-06,11.828455495860823,11.578211170805844,11.703333333333333
2016-09-07,11.760619530967036,11.62260627548458,11.691612903225808
2016-09-08,11.596148571685472,10.997809761647861,11.296979166666667
2016-09-09,11.74269945621479,11.532157686642353,11.637428571428572
2016-09-10,11.99767251039108,11.660054762336195,11.828863636363637
2016-09-11,11.986127600176175,11.769072399823823,11.8776
2016-09-12,12.017914118671385,11.82720783254813,11.922560975609757
2016-09-13,12.106675880574793,11.965895547996636,12.036285714285714
2016-09-14,12.032980288835585,11.98684349971067,12.009911894273127
2016-09-15,12.028573770669373,11.929073288154155,11.978823529411764
2016-09-16,12.695137748576972,12.292926767552057,12.494032258064514
2016-09-17,12.69643107952238,12.464124476033174,12.580277777777777
2016-09-18,12.741569054869393,12.381764278463931,12.561666666666662
2016-09-19,13.23006423874814,12.898735761251865,13.064400000000003
2016-09-20,14.17276190734578,13.73738515147775,13.955073529411765
2016-09-21,13.833106189366328,13.308545186780465,13.570825688073397
2016-09-22,13.33661650404607,12.917400589971024,13.127008547008547
2016-09-23,13.532237069149541,13.31547377422395,13.423855421686746
2016-09-24,13.105007575456593,12.914325757876743,13.009666666666668
2016-09-25,13.14134952475968,13.053433083935975,13.097391304347827
2016-09-26,13.011681930479094,12.931954433157271,12.971818181818183
2016-09-27,13.486191396097398,13.062654757748755,13.274423076923076
2016-09-28,13.510710599480745,13.217289400519252,13.363999999999999
2016-09-29,13.285800132971554,13.180670455263742,13.233235294117648
2016-09-30,13.380873938635537,13.204580606819002,13.29272727272727
2016-10-01,13.308275862068964,13.160689655172412,13.234482758620688
2016-10-02,13.248964476264872,13.122573985273588,13.18576923076923
2016-10-03,13.521427555669296,13.265414549593865,13.393421052631581
2016-10-04,13.564783490310433,13.366795457057986,13.46578947368421
2016-10-05,13.371659226726644,13.129095490254484,13.250377358490564
2016-10-06,13.003579584066841,12.841805031317776,12.922692307692309
2016-10-07,12.827424624439812,12.410401462516711,12.618913043478262
2016-10-08,12.452474349260417,12.26462242493313,12.358548387096773
2016-10-09,12.49135097701544,12.101081455416995,12.296216216216218
2016-10-10,11.990468077908007,11.766865255425325,11.878666666666666
2016-10-11,12.0168512582352,11.774727689133218,11.895789473684209
2016-10-12,11.944455483736014,11.726764028459112,11.835609756097563
2016-10-13,12.164851063306527,11.884778566323105,12.024814814814816
2016-10-14,12.00054211490264,11.91145788509736,11.956
2016-10-15,11.983596520332013,11.851403479667988,11.9175
2016-10-16,12.002649110640673,11.977350889359327,11.99
2016-10-17,12.10842469257569,11.839401394380824,11.973913043478257
2016-10-18,12.746354015482655,12.53995229082365,12.643153153153152
2016-10-19,12.030974780080165,11.832444760149723,11.931709770114944
2016-10-20,12.113833150966135,11.97662139448841,12.045227272727272
2016-10-21,12.07495770676542,12.023865822646343,12.049411764705882
2016-10-22,12.067027106152358,12.038306227180973,12.052666666666665
2016-10-23,12.059948331932894,12.01486648288192,12.037407407407407
2016-10-24,11.928726656352636,11.791273343647367,11.860000000000001
2016-10-25,11.836249001079125,11.400790472605085,11.618519736842105
2016-10-26,11.551826504552972,11.427062384335914,11.489444444444443
2016-10-27,11.501698550640018,11.372015735074264,11.436857142857141
2016-10-28,11.301431692240506,11.12465526428123,11.213043478260868
2016-10-29,10.798093806111966,10.122751264310564,10.460422535211265
2016-10-30,11.420562770407523,10.93027692424896,11.175419847328241
2016-10-31,11.406315414680757,10.874710226344886,11.140512820512821
2016-11-01,10.999782553066844,10.502059552196311,10.750921052631577
2016-11-02,11.19309809673992,10.829174630532808,11.011136363636364
2016-11-03,11.038550990325371,10.8308775811032,10.934714285714286
2016-11-04,11.187290061491499,10.965302531101088,11.076296296296293
2016-11-05,11.15229944398863,11.070367222678032,11.11133333333333
2016-11-06,11.119179264274104,10.940820735725895,11.03
2016-11-07,11.09350648677398,10.926493513226015,11.009999999999998
2016-11-08,11.04335720221575,10.714003908895359,10.878680555555555
2016-11-09,10.720304153691524,10.511594580485683,10.615949367088604
2016-11-10,11.025997633610363,10.372402366389636,10.6992
2016-11-11,10.449644798117536,10.25249805902532,10.351071428571428
2016-11-12,10.138928604486813,9.957272768510892,10.048100686498852
2016-11-13,10.248901916967695,10.102677030400722,10.175789473684208
2016-11-14,10.075951533338923,10.023442406055015,10.049696969696969
2016-11-15,10.383824748725164,10.173508584608165,10.278666666666664
2016-11-16,10.129007103863406,9.920000529724382,10.024503816793894
2016-11-17,10.096549320279577,9.919814316084063,10.00818181818182
2016-11-18,9.855350676255316,9.600869796185641,9.728110236220479
2016-11-19,9.874540971652456,9.772125695014209,9.823333333333332
2016-11-20,9.693791749540738,9.486208250459262,9.59
2016-11-21,9.783760120451532,9.569301104038257,9.676530612244894
2016-11-22,10.022005656439118,9.785240720372476,9.903623188405797
2016-11-23,9.942014360449122,9.86783179339703,9.904923076923076
